,InChI,covalent
0,"InChI=1S/C8H12N2O/c11-8-5-9-6-3-1-2-4-7(6)10-8/h5-7H,1-4H2,(H,10,11)/t6-,7-/m0/s1",1
1,"InChI=1S/C8H11NO2/c10-8-5-9-6-3-1-2-4-7(6)11-8/h5-7H,1-4H2/t6-,7+/m1/s1",1
2,"InChI=1S/C10H17N2O/c1-11-7-10(13)12(2)9-6-4-3-5-8(9)11/h7-9H,3-6H2,1-2H3/q+1/t8-,9+/m1/s1",1
3,"InChI=1S/C10H10O2S/c11-13(12,10-6-8(10)7-10)9-4-2-1-3-5-9/h1-5,8H,6-7H2/t8-,10-",1
4,"InChI=1S/C11H12O3S/c1-14-9-2-4-10(5-3-9)15(12,13)11-6-8(11)7-11/h2-5,8H,6-7H2,1H3/t8-,11-",1
5,"InChI=1S/C10H9FO2S/c11-8-1-3-9(4-2-8)14(12,13)10-5-7(10)6-10/h1-4,7H,5-6H2/t7-,10-",1
6,"InChI=1S/C11H9F3O2S/c12-11(13,14)7-1-3-9(4-2-7)17(15,16)10-5-8(10)6-10/h1-4,8H,5-6H2/t8-,10-",1
7,"InChI=1S/C10H8F2O2S/c11-7-1-8(12)3-9(2-7)15(13,14)10-4-6(10)5-10/h1-3,6H,4-5H2/t6-,10-",1
8,"InChI=1S/C29H26N6O2/c1-2-18-5-3-7-23(13-18)37-22-10-8-19(9-11-22)25-24-26(30)31-17-32-27(24)35(33-25)16-21-6-4-12-34(21)28(36)29-14-20(29)15-29/h1,3,5,7-11,13,17,20-21H,4,6,12,14-16H2,(H2,30,31,32)/t20?,21-,29?/m0/s1",1
9,"InChI=1S/C30H28N6O2/c1-2-19-6-5-8-24(14-19)38-23-11-9-20(10-12-23)26-25-27(31)32-18-33-28(25)36(34-26)17-22-7-3-4-13-35(22)29(37)30-15-21(30)16-30/h1,5-6,8-12,14,18,21-22H,3-4,7,13,15-17H2,(H2,31,32,33)/t21-,22-,30-/m0/s1",1
10,"InChI=1S/C19H22O6/c1-2-7-21-13-23-14-22-8-9-24-17-5-3-15(4-6-17)12-25-18(20)19-10-16(19)11-19/h1,3-6,16H,7-14H2/t16-,19-",1
11,"InChI=1S/C12H14O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h5,7-8H,2-4,6H2,1H3/b11-8-",1
12,"InChI=1S/C35H35ClFN7O5/c1-21(45)35(47,48)32(46)44-17-16-42(19-23(44)10-13-38)31-25-18-39-29(24-8-2-6-22-7-3-9-26(36)27(22)24)28(37)30(25)40-33(41-31)49-20-34-11-4-14-43(34)15-5-12-34/h2-3,6-9,18,23,47-48H,4-5,10-12,14-17,19-20H2,1H3/t23-/m0/s1",1
13,"InChI=1S/C37H33N7O8/c1-14-12-39-27-22(45)10-23-37(24(14)27)11-15(37)13-44(23)35(49)21-9-18-16-4-6-42(28(16)30(46)32(51-2)25(18)41-21)34(48)20-8-19-17-5-7-43(36(38)50)29(17)31(47)33(52-3)26(19)40-20/h8-10,12,15,39-41,46-47H,4-7,11,13H2,1-3H3,(H2,38,50)/t15-,37+/m0/s1",1
14,"InChI=1S/C12H10ClN5O/c1-18-3-4-2-5(12(16)19)17-10-6(4)11(18)9(15)7(13)8(10)14/h2-3H,1H3,(H5,14,15,16,19)/p+1",1
15,"InChI=1S/C26H20F4N2O10S/c27-16-8-17(28)23(30)24(22(16)29)42-11-20(34)18(9-21(35)36)32-25(37)13-3-1-12(2-4-13)10-31-43(40,41)14-5-6-19(33)15(7-14)26(38)39/h1-8,18,31,33H,9-11H2,(H,32,37)(H,35,36)(H,38,39)/t18-/m0/s1",1
16,"InChI=1S/C10H15BN4O6S/c1-10(2,8(17)18)21-15-6(5-3-22-9(12)14-5)7(16)13-4-11(19)20/h3,19-20H,4H2,1-2H3,(H2,12,14)(H,13,16)(H,17,18)/b15-6-",1
17,"InChI=1S/C18H23ClFN3O5S/c1-10(2)14(21-16(24)28-18(3,4)5)15-22-23-17(27-15)29(25,26)9-11-12(19)7-6-8-13(11)20/h6-8,10,14H,9H2,1-5H3,(H,21,24)/t14-/m1/s1",1
